schema_version,experiment_id,phase,repeat_index,scenario_id,random_seed,job_id,server_version,pgvector_version,request_index,request_id,submission_id,doc_id,pool_id,endpoint_id,gpu_id,prompt_tokens,estimated_output_tokens,client_estimated_output_tokens,actual_output_tokens,output_token_source,total_tokens,finish_reason,prefix_key,status,error_type,arrival_epoch_s,flush_epoch_s,submit_epoch_s,service_start_epoch_s,completion_epoch_s,buffer_s,submit_to_service_s,service_s,service_clock_domain,e2e_s,request_time_origin,latency_granularity,slo_target_s,slo_met
3,rc1_dataorg_4ep_1.5b_cacheON,formal,1,fixed_rows_16,20260729,1134,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,0,1134:row:300000,1134:batch:0,300000,default,endpoint-0,0,36,252,177,256,endpoint_request,292,length,22dd9145453181ec,completed,,1785499427.2413044,1785499428.6045296,1785499428.769689,1785499428.7729201,1785499433.2232935,1.3632252216339111,0.003231048583984375,4.448987245559692,backend,5.981989145278931,offline_job_start,submission,30.0,True
3,rc1_dataorg_4ep_1.5b_cacheON,formal,1,fixed_rows_16,20260729,1134,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,1,1134:row:300001,1134:batch:0,300001,default,endpoint-0,0,328,256,195,255,endpoint_request,583,stop,22dd9145453181ec,completed,,1785499427.2413044,1785499428.6045296,1785499428.769689,1785499428.7729201,1785499433.2232935,1.3632252216339111,0.003231048583984375,4.448987245559692,backend,5.981989145278931,offline_job_start,submission,30.0,True
3,rc1_dataorg_4ep_1.5b_cacheON,formal,1,fixed_rows_16,20260729,1134,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,2,1134:row:300002,1134:batch:0,300002,default,endpoint-0,0,680,256,219,256,endpoint_request,936,length,22dd9145453181ec,completed,,1785499427.2413044,1785499428.6045296,1785499428.769689,1785499428.7729201,1785499433.2232935,1.3632252216339111,0.003231048583984375,4.448987245559692,backend,5.981989145278931,offline_job_start,submission,30.0,True
3,rc1_dataorg_4ep_1.5b_cacheON,formal,1,fixed_rows_16,20260729,1134,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,3,1134:row:300003,1134:batch:0,300003,default,endpoint-0,0,1001,256,221,256,endpoint_request,1257,stop,22dd9145453181ec,completed,,1785499427.2413044,1785499428.6045296,1785499428.769689,1785499428.7729201,1785499433.2232935,1.3632252216339111,0.003231048583984375,4.448987245559692,backend,5.981989145278931,offline_job_start,submission,30.0,True
3,rc1_dataorg_4ep_1.5b_cacheON,formal,1,fixed_rows_16,20260729,1134,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,4,1134:row:300004,1134:batch:0,300004,default,endpoint-0,0,19,73,179,256,endpoint_request,275,length,f0653b2a82608a5b,completed,,1785499427.2413044,1785499428.6045296,1785499428.769689,1785499428.7729201,1785499433.2232935,1.3632252216339111,0.003231048583984375,4.448987245559692,backend,5.981989145278931,offline_job_start,submission,30.0,True
3,rc1_dataorg_4ep_1.5b_cacheON,formal,1,fixed_rows_16,20260729,1134,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,5,1134:row:300005,1134:batch:0,300005,default,endpoint-0,0,64,256,142,256,endpoint_request,320,length,4517dec760e3df20,completed,,1785499427.2413044,1785499428.6045296,1785499428.769689,1785499428.7729201,1785499433.2232935,1.3632252216339111,0.003231048583984375,4.448987245559692,backend,5.981989145278931,offline_job_start,submission,30.0,True
3,rc1_dataorg_4ep_1.5b_cacheON,formal,1,fixed_rows_16,20260729,1134,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,6,1134:row:300006,1134:batch:0,300006,default,endpoint-0,0,92,127,176,256,endpoint_request,348,length,e8092da46cb86f4e,completed,,1785499427.2413044,1785499428.6045296,1785499428.769689,1785499428.7729201,1785499433.2232935,1.3632252216339111,0.003231048583984375,4.448987245559692,backend,5.981989145278931,offline_job_start,submission,30.0,True
3,rc1_dataorg_4ep_1.5b_cacheON,formal,1,fixed_rows_16,20260729,1134,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,7,1134:row:300007,1134:batch:0,300007,default,endpoint-0,0,227,256,200,256,endpoint_request,483,length,e8092da46cb86f4e,completed,,1785499427.2413044,1785499428.6045296,1785499428.769689,1785499428.7729201,1785499433.2232935,1.3632252216339111,0.003231048583984375,4.448987245559692,backend,5.981989145278931,offline_job_start,submission,30.0,True
3,rc1_dataorg_4ep_1.5b_cacheON,formal,1,fixed_rows_16,20260729,1134,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,8,1134:row:300008,1134:batch:0,300008,default,endpoint-0,0,518,256,191,256,endpoint_request,774,length,e8092da46cb86f4e,completed,,1785499427.2413044,1785499428.6045296,1785499428.769689,1785499428.7729201,1785499433.2232935,1.3632252216339111,0.003231048583984375,4.448987245559692,backend,5.981989145278931,offline_job_start,submission,30.0,True
3,rc1_dataorg_4ep_1.5b_cacheON,formal,1,fixed_rows_16,20260729,1134,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,9,1134:row:300009,1134:batch:0,300009,default,endpoint-0,0,860,256,166,256,endpoint_request,1116,length,e8092da46cb86f4e,completed,,1785499427.2413044,1785499428.6045296,1785499428.769689,1785499428.7729201,1785499433.2232935,1.3632252216339111,0.003231048583984375,4.448987245559692,backend,5.981989145278931,offline_job_start,submission,30.0,True
